,cust,rct_no,ma_fem_dv,ages,zon_hlv
48,M854163268,1432,여성,70대,Z10
49,M387927928,1420,여성,40대,Z17
50,M775204791,1414,여성,40대,Z17
51,M804891838,1412,여성,40대,Z06
52,M484469095,1409,남성,40대,Z11
53,M379882981,1393,여성,40대,Z01
54,M976964241,1392,남성,50대,Z10
55,M774798773,1390,여성,40대,Z05
56,M451314569,1366,여성,50대,Z17
57,M702590195,1360,남성,40대,Z10
58,M613035564,1357,여성,40대,Z10
59,M915705833,1354,남성,50대,Z04
60,M986268092,1351,남성,40대,Z09
61,M584080782,1345,여성,40대,Z17
62,M343793983,1325,여성,40대,Z16
63,M598831615,1324,여성,40대,Z05
64,M954050739,1319,여성,60대,Z10
65,M723467682,1313,남성,50대,Z10
66,M645893622,1312,남성,40대,Z17
67,M740660758,1311,남성,50대,Z04
68,M425279572,1311,여성,30대,Z17
69,M397459239,1310,여성,40대,Z08
70,M551336727,1308,여성,40대,Z10
71,M052425190,1308,여성,40대,Z17
72,M462953699,1307,남성,40대,Z06
73,M201476321,1302,여성,40대,Z09
74,M021121027,1292,남성,40대,Z07
75,M996539287,1288,여성,30대,Z16
76,M642062829,1278,여성,40대,Z05
77,M605720767,1277,여성,40대,Z15
78,M789404870,1265,여성,40대,Z11
79,M526350048,1264,여성,40대,Z04
80,M740313459,1261,여성,60대,Z10
81,M336008672,1260,남성,50대,Z17
82,M960460862,1259,남성,40대,Z06
83,M114106342,1258,여성,30대,Z11
84,M805506390,1256,여성,60대,Z11
85,M320645751,1255,여성,50대,Z10
86,M296771531,1254,남성,50대,Z17
87,M528797751,1253,여성,50대,Z10
88,M640235208,1252,여성,40대,Z17
89,M365483934,1251,여성,30대,Z09
90,M193993349,1241,여성,50대,Z11
91,M750870954,1240,여성,40대,Z11
92,M617097623,1240,여성,40대,Z10
93,M158576145,1235,여성,40대,Z17
94,M713861593,1234,여성,40대,Z04
95,M570080855,1232,남성,60대,Z17
96,M014275222,1230,여성,40대,Z17
97,M377601122,1218,여성,40대,Z17
98,M160446958,1215,여성,30대,Z11
99,M824022798,1215,여성,40대,Z17
100,M893727045,1207,남성,50대,Z17
101,M882955788,1206,여성,40대,Z10
102,M805219555,1206,여성,40대,Z09
103,M562512968,1203,남성,40대,Z17
104,M290450066,1200,남성,40대,Z13
105,M529966394,1197,남성,40대,Z17
106,M622946134,1196,여성,40대,Z17
107,M230941155,1191,여성,50대,Z10
108,M614062555,1188,여성,40대,Z17
109,M441049196,1185,여성,40대,Z04
110,M397301353,1185,여성,30대,Z10
111,M023605710,1184,여성,40대,Z10
112,M553674064,1183,여성,50대,Z10
113,M252445879,1182,남성,70대,Z10
114,M702534156,1181,여성,40대,Z11
115,M576689847,1177,여성,50대,Z10
116,M473825028,1176,여성,50대,Z10
117,M219299076,1174,여성,50대,Z11
118,M844835592,1170,여성,30대,Z17
119,M052186520,1160,여성,40대,Z10
120,M771815237,1159,남성,40대,Z08
121,M128747170,1158,남성,50대,Z10
122,M109733557,1151,남성,40대,Z16
123,M285395398,1149,여성,40대,Z04
124,M434304520,1147,남성,40대,Z10
125,M159274242,1144,여성,40대,Z10
126,M792078195,1144,여성,40대,Z09
127,M100121805,1143,여성,40대,Z09
128,M753798615,1142,여성,50대,Z15
129,M063683153,1141,여성,30대,Z10
130,M670963884,1136,남성,40대,Z17
131,M281183618,1136,여성,40대,Z10
132,M349129203,1134,남성,50대,Z15
133,M460794535,1132,남성,40대,Z16
134,M415737068,1129,여성,60대,Z17
135,M876101498,1129,여성,30대,Z17
136,M156512039,1129,여성,40대,Z10
137,M455824780,1125,여성,40대,Z17
138,M594074439,1123,남성,30대,Z05
139,M819920876,1123,여성,40대,Z17
140,M559475749,1118,여성,30대,Z10
141,M394336287,1115,여성,40대,Z16
142,M034343473,1111,여성,50대,Z09
143,M387166930,1109,남성,40대,Z17
144,M083173756,1106,남성,40대,Z17
145,M233295685,1105,여성,40대,Z17
146,M464556627,1102,여성,50대,Z10
147,M556347395,1099,여성,40대,Z10
148,M815037781,1098,여성,40대,Z10
149,M745537104,1097,여성,40대,Z17
150,M013276696,1096,여성,50대,Z10
151,M299016876,1095,여성,40대,Z05
152,M273889833,1094,여성,40대,Z10
153,M780206638,1088,여성,50대,Z17
154,M252094820,1086,여성,40대,Z05
155,M817609385,1086,남성,60대,Z10
156,M052767875,1086,여성,40대,Z17
157,M787485001,1084,여성,40대,Z05
158,M067915448,1083,여성,50대,Z17
159,M618665386,1083,여성,50대,Z10
160,M096163881,1082,여성,50대,Z04
161,M686916755,1081,남성,50대,Z10
162,M552646778,1081,여성,40대,Z10
163,M526994001,1081,여성,30대,Z17
164,M804672461,1080,여성,30대,Z10
165,M050781933,1079,남성,40대,Z10
166,M480020012,1078,여성,50대,Z17
167,M866215413,1075,남성,40대,Z11
168,M204013561,1073,여성,40대,Z04
169,M190772540,1072,남성,40대,Z17
170,M441722188,1065,여성,60대,Z10
171,M095230471,1065,여성,30대,Z11
172,M416623801,1064,남성,40대,Z17
173,M939918522,1062,여성,40대,Z11
174,M783908672,1062,여성,40대,Z13
175,M257626377,1061,남성,50대,Z17
176,M877053386,1061,여성,50대,Z04
177,M188136978,1057,여성,30대,Z17
178,M334059866,1057,여성,40대,Z05
179,M797873523,1055,남성,40대,Z10
180,M812176023,1052,여성,40대,Z04
181,M750012782,1052,여성,40대,Z14
182,M372820264,1051,여성,40대,Z17
183,M347787444,1050,여성,40대,Z04
184,M473886652,1049,남성,40대,Z17
185,M724911355,1049,여성,40대,Z15
186,M436841562,1049,남성,40대,Z17
187,M585114049,1048,여성,40대,Z06
188,M663430641,1047,여성,40대,Z16
189,M227021825,1046,여성,40대,Z10
190,M828320129,1046,여성,60대,Z17
191,M144804325,1046,여성,50대,Z10
192,M204395671,1045,여성,40대,Z17
193,M381291748,1041,여성,30대,Z10
194,M997080768,1041,여성,30대,Z08
195,M935183542,1037,여성,40대,Z10
196,M845743058,1037,남성,40대,Z17
197,M899751538,1036,여성,40대,Z17
198,M564614498,1036,여성,40대,Z17
199,M924534152,1035,여성,30대,Z04
200,M728077374,1035,여성,50대,Z10
201,M935375271,1035,여성,50대,Z16
202,M031598024,1034,여성,40대,Z10
203,M318204051,1033,여성,50대,Z10
204,M140316957,1031,여성,30대,Z17
205,M926014276,1031,남성,40대,Z10
206,M216460832,1030,여성,40대,Z14
207,M859526760,1027,남성,50대,Z10
208,M660060770,1026,여성,30대,Z06
209,M300709577,1022,여성,70대,Z17
210,M092698791,1019,남성,50대,Z17
211,M994476623,1019,남성,40대,Z10
212,M281338479,1018,남성,50대,Z06
213,M437176587,1017,남성,40대,Z04
214,M373086404,1017,남성,30대,Z15
215,M326669503,1016,여성,40대,Z06
216,M731672414,1016,여성,40대,Z17
217,M954908835,1016,여성,40대,Z10
218,M490272597,1014,여성,40대,Z10
219,M798729440,1011,여성,50대,Z10
220,M129874737,1011,여성,50대,Z17
221,M990527038,1010,여성,40대,Z10
222,M858044571,1009,여성,50대,Z04
223,M180980910,1009,남성,30대,Z11
224,M414806303,1008,여성,40대,Z04
225,M979535328,1008,남성,30대,Z17
226,M376008411,1008,여성,40대,Z16
227,M829427236,1008,여성,40대,Z04
228,M952083344,1007,여성,50대,Z17
229,M995360116,1006,여성,30대,Z07
230,M085451006,1004,여성,30대,Z05
231,M320478742,1003,여성,40대,Z17
232,M014467656,1003,남성,50대,Z03
233,M695737398,1002,여성,40대,Z10
234,M020795432,1002,여성,40대,Z04
235,M102099624,1001,남성,40대,Z06
236,M979355043,1000,여성,30대,Z06
237,M149237531,1000,여성,30대,Z04
238,M113196481,1000,여성,30대,Z16
239,M692589045,999,남성,50대,Z17
240,M024617970,999,여성,60대,Z13
241,M311674426,998,남성,30대,Z10
242,M259987352,998,여성,40대,Z04
243,M253694015,998,여성,30대,Z10
244,M404646902,997,남성,40대,Z01
245,M620106281,996,여성,40대,Z17
246,M215000348,996,여성,40대,Z17
247,M135071648,995,여성,50대,Z10
248,M602593032,994,남성,40대,Z03
249,M862699539,994,남성,40대,Z17
250,M140878565,993,여성,50대,Z17
251,M823231094,992,여성,30대,Z10
252,M220855444,991,여성,40대,Z10
253,M112137856,990,여성,40대,Z12
254,M098414040,990,남성,50대,Z10
255,M982919421,990,여성,60대,Z10
256,M220080238,988,여성,60대,Z17
257,M510232189,986,여성,50대,Z01
258,M376491722,986,여성,40대,Z10
259,M681952051,986,여성,40대,Z10
260,M805634572,986,여성,40대,Z10
261,M784861325,985,여성,30대,Z13
262,M573516082,983,남성,40대,Z17
263,M645693657,983,남성,40대,Z11
264,M233281023,983,여성,30대,Z11
265,M567053439,983,여성,50대,Z11
266,M879675211,982,여성,40대,Z16
267,M936767092,982,여성,50대,Z10
268,M692673629,981,여성,30대,Z06
269,M477176182,978,남성,50대,Z10
270,M309144365,978,여성,50대,Z14
271,M687825201,978,남성,40대,Z05
272,M584412055,976,남성,50대,Z10
273,M359447237,975,남성,30대,Z15
274,M317470114,973,여성,50대,Z10
275,M454718539,973,여성,50대,Z06
276,M141897168,970,여성,40대,Z17
277,M961029188,970,여성,40대,Z04
278,M137139534,969,남성,30대,Z06
279,M832337870,967,여성,40대,Z16
280,M492619999,967,여성,30대,Z04
281,M569938989,967,여성,40대,Z10
282,M338026038,965,여성,50대,Z04
283,M194400805,964,남성,70대,Z11
284,M880130941,963,여성,40대,Z10
285,M035547728,962,여성,40대,Z11
286,M937072187,961,여성,40대,Z11
287,M447582902,960,여성,50대,Z17
288,M141575381,960,여성,30대,Z17
289,M400077419,959,남성,30대,Z09
290,M241023449,957,여성,40대,Z06
291,M091771738,956,남성,50대,Z17
292,M478944443,955,남성,30대,Z17
293,M851159902,955,여성,50대,Z17
294,M666874425,955,여성,40대,Z01
295,M098304496,954,여성,40대,Z17
296,M920476315,954,여성,50대,Z17
297,M179653812,952,여성,40대,Z16
298,M516435633,951,여성,40대,Z06
299,M473917054,950,여성,30대,Z17
300,M582912209,950,남성,40대,Z10
301,M739060638,948,여성,40대,Z13
302,M663775741,947,여성,30대,Z10
303,M976903953,947,여성,50대,Z10
304,M300334492,945,남성,50대,Z10
305,M965360881,943,남성,50대,Z17
306,M438405999,941,여성,30대,Z10
307,M578809958,941,남성,30대,Z10
308,M714979893,939,여성,50대,Z05
309,M778922882,937,여성,40대,Z09
310,M941183040,937,남성,40대,Z11
311,M598774684,936,여성,50대,Z09
312,M961178630,936,여성,50대,Z17
313,M533162014,935,여성,40대,Z11
314,M795101836,933,여성,40대,Z17
315,M266960937,932,남성,50대,Z10
316,M067496639,932,여성,40대,Z10
317,M067167944,932,남성,50대,Z16
318,M073574798,932,여성,40대,Z10
319,M263968441,929,여성,30대,Z16
320,M740313884,928,여성,60대,Z10
321,M615611999,927,여성,60대,Z17
322,M024226272,927,남성,30대,Z10
323,M483487275,927,여성,40대,Z06
324,M527645574,927,남성,50대,Z16
325,M934125286,926,남성,40대,Z17
326,M376818948,925,여성,30대,Z04
327,M556390885,924,여성,40대,Z17
328,M340658249,921,여성,50대,Z04
329,M194253669,920,여성,30대,Z11
330,M198426354,920,남성,40대,Z09
331,M593180491,920,여성,30대,Z04
332,M488494531,920,여성,40대,Z03
333,M116007838,919,남성,50대,Z17
334,M036787846,919,여성,40대,Z17
335,M404100735,917,남성,40대,Z10
336,M290854726,917,여성,30대,Z17
337,M756340998,917,여성,50대,Z17
338,M694209751,916,남성,40대,Z16
339,M313991018,916,여성,40대,Z17
340,M247958742,915,여성,50대,Z11
341,M298166756,914,여성,40대,Z04
342,M518843414,914,여성,30대,Z06
343,M627403741,912,남성,20대,Z08
344,M120803794,912,여성,20대,Z17
345,M313667502,911,여성,30대,Z05
346,M899978663,911,여성,40대,Z08
347,M349181462,909,남성,50대,Z17
348,M225759092,909,여성,40대,Z10
349,M793789562,909,남성,40대,Z17
350,M003803545,908,여성,40대,Z16
351,M122915581,907,여성,40대,Z10
352,M496711777,907,여성,40대,Z16
353,M709309176,907,여성,40대,Z10
354,M352425572,907,여성,40대,Z17
355,M108148057,906,남성,30대,Z10
356,M766516104,903,남성,30대,Z10
357,M576865835,902,남성,40대,Z15
358,M132736167,902,남성,40대,Z10
359,M819588475,902,여성,70대,Z11
360,M588569480,901,남성,40대,Z10
361,M761166148,900,여성,40대,Z10
362,M790628867,899,여성,40대,Z04
363,M611996936,898,남성,50대,Z10
364,M979986457,898,여성,40대,Z13
365,M573787874,896,여성,40대,Z16
366,M652451932,896,남성,50대,Z15
367,M812923328,896,남성,40대,Z17
368,M224473145,895,여성,40대,Z06
369,M171700179,895,여성,40대,Z16
370,M097192800,894,남성,40대,Z10
371,M107662891,893,여성,30대,Z17
372,M992093756,892,여성,40대,Z06
373,M682716803,892,여성,40대,Z06
374,M832993568,892,남성,30대,Z10
375,M759007313,891,여성,40대,Z06
376,M767231692,891,여성,50대,Z01
377,M372927097,890,남성,70대,Z17
378,M273983403,888,여성,30대,Z13
379,M552219271,888,여성,50대,Z10
380,M824252273,887,여성,50대,Z10
381,M681600766,887,여성,50대,Z17
382,M241753046,887,여성,30대,Z04
383,M733301040,886,여성,40대,Z04
384,M265895503,886,여성,50대,Z10
385,M170642959,885,남성,40대,Z10
386,M933405008,885,남성,30대,Z11
387,M284513494,884,남성,30대,Z17
388,M758634842,884,여성,30대,Z17
389,M439193635,882,남성,40대,Z10
390,M762662277,882,남성,30대,Z08
391,M893401403,882,여성,20대,Z01
392,M354927064,882,여성,40대,Z05
393,M353578957,881,여성,40대,Z10
394,M688055546,881,여성,40대,Z10
395,M384890171,880,여성,40대,Z10
396,M716832554,880,여성,40대,Z10
397,M637156965,877,여성,40대,Z17
398,M425700807,876,여성,50대,Z10
399,M210687594,876,남성,40대,Z10
400,M376583589,875,남성,40대,Z10
401,M368973166,874,여성,40대,Z06
402,M443101018,874,여성,40대,Z04
403,M060049131,874,여성,40대,Z10
404,M335214490,874,여성,50대,Z16
405,M308661179,874,남성,40대,Z16
406,M836374542,872,남성,40대,Z17
407,M245682244,872,여성,50대,Z04
408,M519878389,872,남성,40대,Z15
409,M734588592,871,여성,50대,Z17
410,M415117418,871,여성,30대,Z17
411,M362990097,871,여성,30대,Z15
412,M021677178,870,남성,40대,Z17
413,M059952135,870,남성,40대,Z17
414,M223258650,869,남성,30대,Z17
415,M871496431,869,여성,40대,Z10
416,M099631527,868,남성,30대,Z17
417,M401970305,867,남성,50대,Z13
418,M350623290,867,여성,30대,Z17
419,M563808637,867,여성,40대,Z17
420,M053518816,866,여성,50대,Z17
421,M696610276,865,여성,50대,Z17
422,M059243664,865,여성,40대,Z11
423,M102468929,864,여성,50대,Z16
424,M067367346,863,여성,30대,Z05
425,M786913364,863,여성,40대,Z08
426,M512463186,862,남성,50대,Z10
427,M132699513,861,여성,30대,Z13
428,M292464343,861,여성,40대,Z10
429,M469458906,860,남성,40대,Z17
430,M678390340,860,여성,40대,Z17
431,M057111638,859,여성,30대,Z17
432,M837947257,858,여성,50대,Z10
433,M210088658,858,남성,30대,Z08
434,M672539216,856,여성,40대,Z04
435,M511323683,856,여성,40대,Z10
436,M622852544,855,여성,40대,Z04
437,M398918059,855,여성,50대,Z04
438,M993022068,855,여성,50대,Z16
439,M737823879,855,여성,40대,Z10
440,M888032572,853,여성,50대,Z10
441,M293564497,853,남성,40대,Z10
442,M253696399,853,여성,30대,Z10
443,M992536980,852,남성,40대,Z17
444,M654021356,852,여성,30대,Z10
445,M662773006,852,남성,30대,Z17
446,M051079192,850,여성,50대,Z05
447,M857926309,850,여성,40대,Z10
448,M679775803,850,여성,30대,Z10
449,M692922004,849,여성,40대,Z16
450,M615174489,847,여성,40대,Z08
451,M255962738,846,남성,40대,Z04
452,M163508264,846,여성,20대,Z11
453,M483756720,845,여성,40대,Z16
454,M780203827,844,남성,40대,Z06
455,M625181718,844,여성,50대,Z17
456,M569577888,843,여성,20대,Z04
457,M046984192,843,여성,40대,Z06
458,M624287082,843,여성,30대,Z10
459,M885546737,842,남성,40대,Z10
460,M774423559,842,여성,40대,Z17
461,M100972133,842,남성,50대,Z17
462,M867369909,841,남성,50대,Z10
463,M789786249,841,여성,40대,Z05
464,M292274398,840,남성,40대,Z06
465,M136511790,840,여성,40대,Z10
466,M501758276,839,여성,40대,Z15
467,M789257440,839,여성,50대,Z17
468,M420396178,839,남성,50대,Z17
469,M653387654,837,여성,40대,Z10
470,M903573176,837,여성,40대,Z09
471,M511459136,837,여성,40대,Z01
472,M818027713,837,여성,40대,Z17
473,M507149762,837,여성,50대,Z17
474,M058328532,836,남성,30대,Z09
475,M335245808,836,남성,40대,Z03
476,M996096528,835,남성,30대,Z17
477,M723237751,835,여성,50대,Z16
478,M523349431,835,여성,30대,Z10
479,M907020619,835,남성,40대,Z15
480,M571747420,835,여성,40대,Z10
481,M391423285,833,여성,40대,Z10
482,M198104311,833,여성,50대,Z10
483,M468176402,833,여성,40대,Z10
484,M091206196,833,여성,40대,Z10
485,M269447497,833,여성,40대,Z15
486,M375766754,833,여성,40대,Z17
487,M189890707,832,남성,50대,Z17
488,M351753367,830,여성,40대,Z17
489,M147872479,830,남성,40대,Z17
490,M107941811,829,여성,40대,Z10
491,M527526585,829,남성,30대,Z10
492,M015750998,829,여성,40대,Z16
493,M576900119,828,여성,30대,Z17
494,M441150855,827,여성,30대,Z03
495,M378455186,827,남성,40대,Z16
496,M798489815,827,여성,30대,Z15
497,M072055624,826,여성,30대,Z11
498,M059984432,825,남성,40대,Z10
499,M253033654,825,남성,50대,Z06
500,M841223816,825,여성,40대,Z13
501,M333379336,824,여성,40대,Z03
502,M630863549,824,여성,50대,Z17
503,M254394691,824,여성,40대,Z04
504,M969664798,824,여성,50대,Z10
505,M601310951,824,여성,70대,Z16
506,M437866898,823,여성,40대,Z17
507,M355444079,822,남성,50대,Z17
508,M008962563,822,여성,50대,Z17
509,M987707106,821,여성,50대,Z17
510,M563618574,821,여성,20대,Z17
511,M548590587,820,남성,50대,Z17
512,M181217982,820,남성,40대,Z10
513,M939657690,818,남성,30대,Z03
514,M201145565,818,여성,50대,Z16
515,M369893370,818,여성,40대,Z05
516,M364953038,817,남성,30대,Z01
517,M903890078,817,남성,40대,Z16
518,M783317395,815,남성,40대,Z10
519,M474353425,814,여성,40대,Z17
520,M557607301,814,남성,40대,Z17
521,M607076588,814,남성,50대,Z10
522,M926344751,813,여성,40대,Z09
523,M934217052,812,여성,40대,Z10
524,M441541075,812,여성,30대,Z11
525,M477618556,811,여성,50대,Z16
526,M953885833,810,여성,50대,Z10
527,M988551582,809,여성,30대,Z11
528,M088494538,809,여성,50대,Z09
529,M108379435,808,여성,40대,Z10
530,M896618336,808,여성,40대,Z04
531,M960844626,807,여성,40대,Z05
532,M046679940,807,남성,40대,Z17
533,M303480923,807,여성,50대,Z10
534,M411164336,806,여성,30대,Z04
535,M083270072,806,남성,40대,Z10
536,M531471922,806,여성,30대,Z17
537,M094862251,806,여성,40대,Z17
538,M879158762,805,여성,40대,Z17
539,M396409042,805,여성,40대,Z10
540,M036670906,804,남성,40대,Z17
541,M280264247,804,여성,50대,Z17
542,M257906510,803,여성,50대,Z09
543,M815088778,803,여성,40대,Z11
544,M128893989,802,남성,40대,Z17
545,M618481147,802,여성,50대,Z17
546,M355162061,801,여성,40대,Z16
547,M222290281,801,남성,30대,Z05
548,M334488161,800,여성,40대,Z17
549,M379778305,800,여성,40대,Z04
550,M843698425,799,여성,50대,Z17
551,M437128602,799,남성,30대,Z10
552,M533650122,799,여성,40대,Z10
553,M202738036,799,여성,30대,Z08
554,M441653522,799,남성,40대,Z10
555,M266614279,799,여성,40대,Z04
556,M840374708,799,여성,30대,Z08
557,M209978730,798,남성,40대,Z13
558,M092448213,797,여성,40대,Z17
559,M211963330,797,여성,50대,Z16
560,M473358717,797,여성,40대,Z10
561,M793953321,797,여성,40대,Z12
562,M112971606,796,여성,40대,Z17
563,M860880976,796,남성,40대,Z17
564,M492399103,795,여성,40대,Z17
565,M274447867,795,여성,40대,Z11
566,M699958272,794,여성,40대,Z10
567,M825036729,793,여성,30대,Z12
568,M156433780,793,여성,40대,Z10
569,M366693613,793,여성,40대,Z05
570,M366624204,793,여성,40대,Z06
571,M248235150,793,여성,40대,Z10
572,M740316079,792,남성,40대,Z17
573,M824853432,791,여성,40대,Z17
574,M091233430,791,여성,50대,Z08
575,M866610865,790,여성,50대,Z15
576,M178227086,790,여성,30대,Z10
577,M839265919,789,여성,40대,Z10
578,M581358067,789,여성,30대,Z17
579,M556896683,788,남성,40대,Z08
580,M870083459,787,여성,30대,Z16
581,M079978488,787,여성,60대,Z16
582,M538589276,786,여성,30대,Z17
583,M231280512,785,여성,40대,Z17
584,M259948370,785,남성,30대,Z03
585,M005190060,784,여성,30대,Z09
586,M294362283,784,여성,50대,Z10
587,M814893049,784,여성,40대,Z17
588,M115992413,782,여성,30대,Z10
589,M794595770,781,여성,30대,Z10
590,M561340953,781,여성,40대,Z01
591,M244951578,780,여성,40대,Z10
592,M398077427,780,여성,40대,Z14
593,M712388981,780,여성,30대,Z04
594,M459002891,779,남성,30대,Z17
595,M734658269,779,남성,20대,Z10
596,M228934898,778,여성,40대,Z17
597,M832186157,778,여성,30대,Z10
598,M306693861,777,여성,40대,Z04
599,M152303718,777,남성,30대,Z10
600,M163603125,776,여성,50대,Z17
601,M231537676,776,여성,50대,Z17
602,M295502767,776,여성,40대,Z01
603,M811831696,776,남성,40대,Z12
604,M151983877,776,여성,50대,Z15
605,M942965432,775,여성,50대,Z11
606,M204207863,775,여성,30대,Z11
607,M816268724,775,여성,50대,Z10
608,M244527587,774,여성,50대,Z15
609,M138312150,774,남성,60대,Z10
610,M709856223,773,남성,40대,Z01
611,M908752520,771,여성,50대,Z10
612,M881022819,771,여성,30대,Z17
613,M373458054,771,여성,50대,Z17
614,M681918893,771,여성,40대,Z10
615,M438331473,770,여성,40대,Z10
616,M961224872,770,여성,30대,Z07
617,M580365548,770,여성,50대,Z17
618,M786571229,770,남성,20대,Z10
619,M681914568,770,남성,30대,Z10
620,M705670958,770,남성,50대,Z10
621,M318082150,770,여성,50대,Z16
622,M358108167,770,여성,40대,Z16
623,M486016468,770,여성,30대,Z17
624,M745634800,769,남성,30대,Z12
625,M886256918,769,남성,50대,Z17
626,M043459226,769,남성,40대,Z17
627,M234284432,769,남성,40대,Z11
628,M531764154,768,여성,40대,Z17
629,M226162273,768,여성,30대,Z17
630,M129974553,767,남성,60대,Z10
631,M601826114,767,여성,50대,Z10
632,M499015819,767,여성,50대,Z08
633,M358984252,767,여성,30대,Z04
634,M562095147,767,남성,40대,Z11
635,M504511915,767,여성,40대,Z08
636,M630847642,766,여성,50대,Z04
637,M933111827,766,여성,30대,Z04
638,M948235749,765,남성,50대,Z10
639,M169084943,765,여성,50대,Z17
640,M701866066,765,남성,50대,Z17
641,M081756873,765,여성,40대,Z04
642,M714080036,765,남성,40대,Z17
643,M754345978,765,여성,40대,Z06
644,M136059103,764,여성,40대,Z10
645,M183912661,764,여성,40대,Z09
646,M270986563,763,남성,50대,Z10
647,M006997862,763,여성,30대,Z17
648,M676262214,763,남성,30대,Z10
649,M385981841,763,여성,40대,Z16
650,M656774488,763,남성,30대,Z04
651,M750699183,763,여성,40대,Z17
652,M906422057,762,여성,40대,Z17
653,M431541306,761,여성,40대,Z10
654,M203223334,761,남성,30대,Z13
655,M896770606,760,여성,40대,Z17
656,M399611288,760,여성,30대,Z10
657,M243414179,760,여성,30대,Z17
658,M951694295,760,여성,50대,Z10
659,M818733447,759,여성,50대,Z10
660,M870275969,758,여성,40대,Z17
661,M488597410,757,남성,60대,Z17
662,M650604429,756,여성,40대,Z17
663,M821634511,755,여성,30대,Z14
664,M416030825,755,여성,60대,Z10
665,M726403483,754,여성,30대,Z17
666,M821637158,754,남성,40대,Z10
667,M064003542,753,남성,50대,Z04
668,M959272958,752,여성,40대,Z17
669,M411284896,752,여성,30대,Z10
670,M024255025,751,남성,40대,Z10
671,M569687723,751,여성,40대,Z10
672,M135085225,751,여성,50대,Z17
673,M920917766,751,여성,70대,Z17
674,M962129834,749,남성,40대,Z16
675,M401442189,749,여성,40대,Z08
676,M892628788,749,여성,50대,Z10
677,M454952486,748,여성,50대,Z17
678,M571835251,748,여성,50대,Z17
679,M676052725,747,여성,30대,Z04
680,M254971087,747,여성,40대,Z10
681,M856746010,747,남성,30대,Z17
682,M709288796,747,남성,30대,Z13
683,M617274873,746,여성,40대,Z01
684,M540248662,746,남성,30대,Z17
685,M462781801,746,남성,50대,Z10
686,M267451945,746,여성,40대,Z05
687,M892380290,746,여성,40대,Z16
688,M322829657,745,남성,50대,Z17
689,M550739463,745,남성,40대,Z14
690,M442266555,744,여성,40대,Z17
691,M348021954,744,남성,40대,Z17
692,M847426011,743,여성,40대,Z04
693,M370125750,743,여성,40대,Z10
694,M583281850,743,남성,50대,Z14
695,M804283611,742,남성,50대,Z15
696,M509947378,742,남성,40대,Z16
697,M215397762,742,여성,40대,Z10
698,M151248807,741,여성,30대,Z13
699,M934597027,741,여성,50대,Z10
700,M913172996,741,여성,40대,Z17
701,M840337543,741,여성,30대,Z10
702,M295471442,739,여성,50대,Z05
703,M689417445,739,여성,50대,Z10
704,M915295455,739,여성,40대,Z10
705,M419249862,738,여성,30대,Z16
706,M061879808,738,여성,40대,Z06
707,M392268101,737,여성,40대,Z10
708,M565501016,737,여성,30대,Z17
709,M248529440,737,여성,30대,Z17
710,M510673215,737,여성,60대,Z17
711,M343235503,736,여성,40대,Z13
712,M579227293,736,여성,40대,Z10
713,M311551288,736,여성,40대,Z11
714,M764533318,736,여성,40대,Z10
715,M090162367,736,남성,70대,Z10
716,M459481119,736,여성,50대,Z17
717,M122514440,735,남성,40대,Z05
718,M673993196,735,여성,50대,Z17
719,M491948641,734,여성,30대,Z17
720,M635153594,734,여성,40대,Z13
