,cust,rct_no,ma_fem_dv,ages,zon_hlv
13917,M464556627,1102.0,여성,50대,Z10
16732,M556347395,1099.0,여성,40대,Z10
24483,M815037781,1098.0,여성,40대,Z10
22425,M745537104,1097.0,여성,40대,Z17
379,M013276696,1096.0,여성,50대,Z10
8999,M299016876,1095.0,여성,40대,Z05
8205,M273889833,1094.0,여성,40대,Z10
23455,M780206638,1088.0,여성,50대,Z17
24562,M817609385,1086.0,남성,60대,Z10
7557,M252094820,1086.0,여성,40대,Z05
1592,M052767875,1086.0,여성,40대,Z17
23683,M787485001,1084.0,여성,40대,Z05
18617,M618665386,1083.0,여성,50대,Z10
2054,M067915448,1083.0,여성,50대,Z17
2842,M096163881,1082.0,여성,50대,Z04
15814,M526994001,1081.0,여성,30대,Z17
20591,M686916755,1081.0,남성,50대,Z10
16629,M552646778,1081.0,여성,40대,Z10
24190,M804672461,1080.0,여성,30대,Z10
1535,M050781933,1079.0,남성,40대,Z10
14403,M480020012,1078.0,여성,50대,Z17
26001,M866215413,1075.0,남성,40대,Z11
6130,M204013561,1073.0,여성,40대,Z04
5739,M190772540,1072.0,남성,40대,Z17
2810,M095230471,1065.0,여성,30대,Z11
13230,M441722188,1065.0,여성,60대,Z10
12479,M416623801,1064.0,남성,40대,Z17
28214,M939918522,1062.0,여성,40대,Z11
23559,M783908672,1062.0,여성,40대,Z13
26338,M877053386,1061.0,여성,50대,Z04
7733,M257626377,1061.0,남성,50대,Z17
10060,M334059866,1057.0,여성,40대,Z05
5645,M188136978,1057.0,여성,30대,Z17
23992,M797873523,1055.0,남성,40대,Z10
24400,M812176023,1052.0,여성,40대,Z04
22551,M750012782,1052.0,여성,40대,Z14
11222,M372820264,1051.0,여성,40대,Z17
10505,M347787444,1050.0,여성,40대,Z04
13069,M436841562,1049.0,남성,40대,Z17
21785,M724911355,1049.0,여성,40대,Z15
14202,M473886652,1049.0,남성,40대,Z17
17560,M585114049,1048.0,여성,40대,Z06
19883,M663430641,1047.0,여성,40대,Z16
24867,M828320129,1046.0,여성,60대,Z17
4335,M144804325,1046.0,여성,50대,Z10
6816,M227021825,1046.0,여성,40대,Z10
6145,M204395671,1045.0,여성,40대,Z17
29839,M997080768,1041.0,여성,30대,Z08
11492,M381291748,1041.0,여성,30대,Z10
25411,M845743058,1037.0,남성,40대,Z17
28067,M935183542,1037.0,여성,40대,Z10
27037,M899751538,1036.0,여성,40대,Z17
16970,M564614498,1036.0,여성,40대,Z17
28076,M935375271,1035.0,여성,50대,Z16
21871,M728077374,1035.0,여성,50대,Z10
27745,M924534152,1035.0,여성,30대,Z04
958,M031598024,1034.0,여성,40대,Z10
9535,M318204051,1033.0,여성,50대,Z10
27791,M926014276,1031.0,남성,40대,Z10
4198,M140316957,1031.0,여성,30대,Z17
6505,M216460832,1030.0,여성,40대,Z14
25801,M859526760,1027.0,남성,50대,Z10
19800,M660060770,1026.0,여성,30대,Z06
9061,M300709577,1022.0,여성,70대,Z17
29765,M994476623,1019.0,남성,40대,Z10
2742,M092698791,1019.0,남성,50대,Z17
8449,M281338479,1018.0,남성,50대,Z06
11230,M373086404,1017.0,남성,30대,Z15
13082,M437176587,1017.0,남성,40대,Z04
9819,M326669503,1016.0,여성,40대,Z06
22000,M731672414,1016.0,여성,40대,Z17
28644,M954908835,1016.0,여성,40대,Z10
14729,M490272597,1014.0,여성,40대,Z10
3898,M129874737,1011.0,여성,50대,Z17
24017,M798729440,1011.0,여성,50대,Z10
29642,M990527038,1010.0,여성,40대,Z10
5429,M180980910,1009.0,남성,30대,Z11
25751,M858044571,1009.0,여성,50대,Z04
29330,M979535328,1008.0,남성,30대,Z17
24895,M829427236,1008.0,여성,40대,Z04
12418,M414806303,1008.0,여성,40대,Z04
11317,M376008411,1008.0,여성,40대,Z16
28566,M952083344,1007.0,여성,50대,Z17
29786,M995360116,1006.0,여성,30대,Z07
2542,M085451006,1004.0,여성,30대,Z05
415,M014467656,1003.0,남성,50대,Z03
9616,M320478742,1003.0,여성,40대,Z17
20848,M695737398,1002.0,여성,40대,Z10
617,M020795432,1002.0,여성,40대,Z04
3020,M102099624,1001.0,남성,40대,Z06
3371,M113196481,1000.0,여성,30대,Z16
29328,M979355043,1000.0,여성,30대,Z06
4467,M149237531,1000.0,여성,30대,Z04
20757,M692589045,999.0,남성,50대,Z17
740,M024617970,999.0,여성,60대,Z13
7604,M253694015,998.0,여성,30대,Z10
7794,M259987352,998.0,여성,40대,Z04
9355,M311674426,998.0,남성,30대,Z10
12134,M404646902,997.0,남성,40대,Z01
6461,M215000348,996.0,여성,40대,Z17
18653,M620106281,996.0,여성,40대,Z17
4046,M135071648,995.0,여성,50대,Z10
18106,M602593032,994.0,남성,40대,Z03
25900,M862699539,994.0,남성,40대,Z17
4213,M140878565,993.0,여성,50대,Z17
24718,M823231094,992.0,여성,30대,Z10
6634,M220855444,991.0,여성,40대,Z10
29420,M982919421,990.0,여성,60대,Z10
3339,M112137856,990.0,여성,40대,Z12
2913,M098414040,990.0,남성,50대,Z10
6607,M220080238,988.0,여성,60대,Z17
15347,M510232189,986.0,여성,50대,Z01
11335,M376491722,986.0,여성,40대,Z10
24219,M805634572,986.0,여성,40대,Z10
20435,M681952051,986.0,여성,40대,Z10
23590,M784861325,985.0,여성,30대,Z13
17054,M567053439,983.0,여성,50대,Z11
6979,M233281023,983.0,여성,30대,Z11
17233,M573516082,983.0,남성,40대,Z17
19422,M645693657,983.0,남성,40대,Z11
28123,M936767092,982.0,여성,50대,Z10
26418,M879675211,982.0,여성,40대,Z16
20761,M692673629,981.0,여성,30대,Z06
20617,M687825201,978.0,남성,40대,Z05
9283,M309144365,978.0,여성,50대,Z14
14302,M477176182,978.0,남성,50대,Z10
17536,M584412055,976.0,남성,50대,Z10
10850,M359447237,975.0,남성,30대,Z15
13594,M454718539,973.0,여성,50대,Z06
9515,M317470114,973.0,여성,50대,Z10
28805,M961029188,970.0,여성,40대,Z04
4242,M141897168,970.0,여성,40대,Z17
4095,M137139534,969.0,남성,30대,Z06
14804,M492619999,967.0,여성,30대,Z04
17140,M569938989,967.0,여성,40대,Z10
24993,M832337870,967.0,여성,40대,Z16
10190,M338026038,965.0,여성,50대,Z04
5857,M194400805,964.0,남성,70대,Z11
26437,M880130941,963.0,여성,40대,Z10
1073,M035547728,962.0,여성,40대,Z11
28131,M937072187,961.0,여성,40대,Z11
4232,M141575381,960.0,여성,30대,Z17
13400,M447582902,960.0,여성,50대,Z17
12014,M400077419,959.0,남성,30대,Z09
7216,M241023449,957.0,여성,40대,Z06
2720,M091771738,956.0,남성,50대,Z17
25555,M851159902,955.0,여성,50대,Z17
14370,M478944443,955.0,남성,30대,Z17
19977,M666874425,955.0,여성,40대,Z01
27630,M920476315,954.0,여성,50대,Z17
2906,M098304496,954.0,여성,40대,Z17
5394,M179653812,952.0,여성,40대,Z16
15508,M516435633,951.0,여성,40대,Z06
14204,M473917054,950.0,여성,30대,Z17
17494,M582912209,950.0,남성,40대,Z10
22233,M739060638,948.0,여성,40대,Z13
19895,M663775741,947.0,여성,30대,Z10
29265,M976903953,947.0,여성,50대,Z10
9045,M300334492,945.0,남성,50대,Z10
28939,M965360881,943.0,남성,50대,Z17
13115,M438405999,941.0,여성,30대,Z10
17384,M578809958,941.0,남성,30대,Z10
21477,M714979893,939.0,여성,50대,Z05
23422,M778922882,937.0,여성,40대,Z09
28251,M941183040,937.0,남성,40대,Z11
28812,M961178630,936.0,여성,50대,Z17
17981,M598774684,936.0,여성,50대,Z09
16012,M533162014,935.0,여성,40대,Z11
23908,M795101836,933.0,여성,40대,Z17
2039,M067496639,932.0,여성,40대,Z10
8018,M266960937,932.0,남성,50대,Z10
2030,M067167944,932.0,남성,50대,Z16
2201,M073574798,932.0,여성,40대,Z10
7930,M263968441,929.0,여성,30대,Z16
22274,M740313884,928.0,여성,60대,Z10
15830,M527645574,927.0,남성,50대,Z16
731,M024226272,927.0,남성,30대,Z10
18511,M615611999,927.0,여성,60대,Z17
14511,M483487275,927.0,여성,40대,Z06
28026,M934125286,926.0,남성,40대,Z17
11349,M376818948,925.0,여성,30대,Z04
16733,M556390885,924.0,여성,40대,Z17
10273,M340658249,921.0,여성,50대,Z04
14673,M488494531,920.0,여성,40대,Z03
17812,M593180491,920.0,여성,30대,Z04
5977,M198426354,920.0,남성,40대,Z09
5853,M194253669,920.0,여성,30대,Z11
3464,M116007838,919.0,남성,50대,Z17
1114,M036787846,919.0,여성,40대,Z17
12118,M404100735,917.0,남성,40대,Z10
22763,M756340998,917.0,여성,50대,Z17
8769,M290854726,917.0,여성,30대,Z17
20803,M694209751,916.0,남성,40대,Z16
9424,M313991018,916.0,여성,40대,Z17
7445,M247958742,915.0,여성,50대,Z11
8981,M298166756,914.0,여성,40대,Z04
15574,M518843414,914.0,여성,30대,Z06
3607,M120803794,912.0,여성,20대,Z17
18876,M627403741,912.0,남성,20대,Z08
9411,M313667502,911.0,여성,30대,Z05
27047,M899978663,911.0,여성,40대,Z08
6778,M225759092,909.0,여성,40대,Z10
23870,M793789562,909.0,남성,40대,Z17
10544,M349181462,909.0,남성,50대,Z17
93,M003803545,908.0,여성,40대,Z16
14926,M496711777,907.0,여성,40대,Z16
10639,M352425572,907.0,여성,40대,Z17
3686,M122915581,907.0,여성,40대,Z10
21293,M709309176,907.0,여성,40대,Z10
3204,M108148057,906.0,남성,30대,Z10
23045,M766516104,903.0,남성,30대,Z10
24612,M819588475,902.0,여성,70대,Z11
3984,M132736167,902.0,남성,40대,Z10
17324,M576865835,902.0,남성,40대,Z15
17671,M588569480,901.0,남성,40대,Z10
22896,M761166148,900.0,여성,40대,Z10
23781,M790628867,899.0,여성,40대,Z04
18384,M611996936,898.0,남성,50대,Z10
29345,M979986457,898.0,여성,40대,Z13
24422,M812923328,896.0,남성,40대,Z17
17240,M573787874,896.0,여성,40대,Z16
19597,M652451932,896.0,남성,50대,Z15
6741,M224473145,895.0,여성,40대,Z06
5185,M171700179,895.0,여성,40대,Z16
2874,M097192800,894.0,남성,40대,Z10
3188,M107662891,893.0,여성,30대,Z17
29693,M992093756,892.0,여성,40대,Z06
25021,M832993568,892.0,남성,30대,Z10
20459,M682716803,892.0,여성,40대,Z06
22841,M759007313,891.0,여성,40대,Z06
23066,M767231692,891.0,여성,50대,Z01
11225,M372927097,890.0,남성,70대,Z17
8208,M273983403,888.0,여성,30대,Z13
16616,M552219271,888.0,여성,50대,Z10
20425,M681600766,887.0,여성,50대,Z17
24750,M824252273,887.0,여성,50대,Z10
7234,M241753046,887.0,여성,30대,Z04
22068,M733301040,886.0,여성,40대,Z04
7987,M265895503,886.0,여성,50대,Z10
28003,M933405008,885.0,남성,30대,Z11
5151,M170642959,885.0,남성,40대,Z10
8549,M284513494,884.0,남성,30대,Z17
22830,M758634842,884.0,여성,30대,Z17
22946,M762662277,882.0,남성,30대,Z08
13146,M439193635,882.0,남성,40대,Z10
10706,M354927064,882.0,여성,40대,Z05
26843,M893401403,882.0,여성,20대,Z01
20624,M688055546,881.0,여성,40대,Z10
10667,M353578957,881.0,여성,40대,Z10
11595,M384890171,880.0,여성,40대,Z10
21535,M716832554,880.0,여성,40대,Z10
19185,M637156965,877.0,여성,40대,Z17
6337,M210687594,876.0,남성,40대,Z10
12763,M425700807,876.0,여성,50대,Z10
11338,M376583589,875.0,남성,40대,Z10
10102,M335214490,874.0,여성,50대,Z16
1815,M060049131,874.0,여성,40대,Z10
13274,M443101018,874.0,여성,40대,Z04
11105,M368973166,874.0,여성,40대,Z06
9265,M308661179,874.0,남성,40대,Z16
25108,M836374542,872.0,남성,40대,Z17
7374,M245682244,872.0,여성,50대,Z04
15598,M519878389,872.0,남성,40대,Z15
12432,M415117418,871.0,여성,30대,Z17
22097,M734588592,871.0,여성,50대,Z17
10945,M362990097,871.0,여성,30대,Z15
653,M021677178,870.0,남성,40대,Z17
1812,M059952135,870.0,남성,40대,Z17
26160,M871496431,869.0,여성,40대,Z10
6705,M223258650,869.0,남성,30대,Z17
2948,M099631527,868.0,남성,30대,Z17
12066,M401970305,867.0,남성,50대,Z13
16952,M563808637,867.0,여성,40대,Z17
10588,M350623290,867.0,여성,30대,Z17
1614,M053518816,866.0,여성,50대,Z17
20881,M696610276,865.0,여성,50대,Z17
1792,M059243664,865.0,여성,40대,Z11
3030,M102468929,864.0,여성,50대,Z16
2036,M067367346,863.0,여성,30대,Z05
23668,M786913364,863.0,여성,40대,Z08
15411,M512463186,862.0,남성,50대,Z10
3983,M132699513,861.0,여성,30대,Z13
8818,M292464343,861.0,여성,40대,Z10
20313,M678390340,860.0,여성,40대,Z17
14076,M469458906,860.0,남성,40대,Z17
1726,M057111638,859.0,여성,30대,Z17
25158,M837947257,858.0,여성,50대,Z10
6319,M210088658,858.0,남성,30대,Z08
20148,M672539216,856.0,여성,40대,Z04
15376,M511323683,856.0,여성,40대,Z10
11986,M398918059,855.0,여성,50대,Z04
18722,M622852544,855.0,여성,40대,Z04
29718,M993022068,855.0,여성,50대,Z16
22195,M737823879,855.0,여성,40대,Z10
7605,M253696399,853.0,여성,30대,Z10
8864,M293564497,853.0,남성,40대,Z10
26663,M888032572,853.0,여성,50대,Z10
19628,M654021356,852.0,여성,30대,Z10
19868,M662773006,852.0,남성,30대,Z17
29705,M992536980,852.0,남성,40대,Z17
25748,M857926309,850.0,여성,40대,Z10
20362,M679775803,850.0,여성,30대,Z10
1543,M051079192,850.0,여성,50대,Z05
20768,M692922004,849.0,여성,40대,Z16
18488,M615174489,847.0,여성,40대,Z08
4921,M163508264,846.0,여성,20대,Z11
7675,M255962738,846.0,남성,40대,Z04
14520,M483756720,845.0,여성,40대,Z16
18793,M625181718,844.0,여성,50대,Z17
23454,M780203827,844.0,남성,40대,Z06
17128,M569577888,843.0,여성,20대,Z04
18758,M624287082,843.0,여성,30대,Z10
1411,M046984192,843.0,여성,40대,Z06
23275,M774423559,842.0,여성,40대,Z17
2993,M100972133,842.0,남성,50대,Z17
26588,M885546737,842.0,남성,40대,Z10
23755,M789786249,841.0,여성,40대,Z05
26034,M867369909,841.0,남성,50대,Z10
8812,M292274398,840.0,남성,40대,Z06
4085,M136511790,840.0,여성,40대,Z10
12584,M420396178,839.0,남성,50대,Z17
15079,M501758276,839.0,여성,40대,Z15
23733,M789257440,839.0,여성,50대,Z17
15254,M507149762,837.0,여성,50대,Z17
15380,M511459136,837.0,여성,40대,Z01
19613,M653387654,837.0,여성,40대,Z10
24569,M818027713,837.0,여성,40대,Z17
27140,M903573176,837.0,여성,40대,Z09
10104,M335245808,836.0,남성,40대,Z03
1765,M058328532,836.0,남성,30대,Z09
29810,M996096528,835.0,남성,30대,Z17
15701,M523349431,835.0,여성,30대,Z10
27245,M907020619,835.0,남성,40대,Z15
21728,M723237751,835.0,여성,50대,Z16
17184,M571747420,835.0,여성,40대,Z10
2711,M091206196,833.0,여성,40대,Z10
11306,M375766754,833.0,여성,40대,Z17
14034,M468176402,833.0,여성,40대,Z10
11777,M391423285,833.0,여성,40대,Z10
5969,M198104311,833.0,여성,50대,Z10
8097,M269447497,833.0,여성,40대,Z15
5701,M189890707,832.0,남성,50대,Z17
10620,M351753367,830.0,여성,40대,Z17
4420,M147872479,830.0,남성,40대,Z17
3197,M107941811,829.0,여성,40대,Z10
459,M015750998,829.0,여성,40대,Z16
15826,M527526585,829.0,남성,30대,Z10
17326,M576900119,828.0,여성,30대,Z17
13206,M441150855,827.0,여성,30대,Z03
11412,M378455186,827.0,남성,40대,Z16
24008,M798489815,827.0,여성,30대,Z15
2156,M072055624,826.0,여성,30대,Z11
7580,M253033654,825.0,남성,50대,Z06
25273,M841223816,825.0,여성,40대,Z13
1814,M059984432,825.0,남성,40대,Z10
7632,M254394691,824.0,여성,40대,Z04
18981,M630863549,824.0,여성,50대,Z17
29042,M969664798,824.0,여성,50대,Z10
18067,M601310951,824.0,여성,70대,Z16
10034,M333379336,824.0,여성,40대,Z03
13100,M437866898,823.0,여성,40대,Z17
248,M008962563,822.0,여성,50대,Z17
10726,M355444079,822.0,남성,50대,Z17
16946,M563618574,821.0,여성,20대,Z17
29546,M987707106,821.0,여성,50대,Z17
5435,M181217982,820.0,남성,40대,Z10
16499,M548590587,820.0,남성,50대,Z17
28205,M939657690,818.0,남성,30대,Z03
6041,M201145565,818.0,여성,50대,Z16
11137,M369893370,818.0,여성,40대,Z05
27155,M903890078,817.0,남성,40대,Z16
10982,M364953038,817.0,남성,30대,Z01
23545,M783317395,815.0,남성,40대,Z10
18239,M607076588,814.0,남성,50대,Z10
14219,M474353425,814.0,여성,40대,Z17
16772,M557607301,814.0,남성,40대,Z17
27798,M926344751,813.0,여성,40대,Z09
28031,M934217052,812.0,여성,40대,Z10
13221,M441541075,812.0,여성,30대,Z11
14323,M477618556,811.0,여성,50대,Z16
28614,M953885833,810.0,여성,50대,Z10
29580,M988551582,809.0,여성,30대,Z11
2632,M088494538,809.0,여성,50대,Z09
26943,M896618336,808.0,여성,40대,Z04
3208,M108379435,808.0,여성,40대,Z10
1400,M046679940,807.0,남성,40대,Z17
9139,M303480923,807.0,여성,50대,Z10
28797,M960844626,807.0,여성,40대,Z05
15950,M531471922,806.0,여성,30대,Z17
2803,M094862251,806.0,여성,40대,Z17
12307,M411164336,806.0,여성,30대,Z04
2476,M083270072,806.0,남성,40대,Z10
11915,M396409042,805.0,여성,40대,Z10
26404,M879158762,805.0,여성,40대,Z17
1111,M036670906,804.0,남성,40대,Z17
8418,M280264247,804.0,여성,50대,Z17
24485,M815088778,803.0,여성,40대,Z11
7742,M257906510,803.0,여성,50대,Z09
18613,M618481147,802.0,여성,50대,Z17
3870,M128893989,802.0,남성,40대,Z17
6677,M222290281,801.0,남성,30대,Z05
10717,M355162061,801.0,여성,40대,Z16
11439,M379778305,800.0,여성,40대,Z04
10073,M334488161,800.0,여성,40대,Z17
16035,M533650122,799.0,여성,40대,Z10
13225,M441653522,799.0,남성,40대,Z10
8009,M266614279,799.0,여성,40대,Z04
6092,M202738036,799.0,여성,30대,Z08
25243,M840374708,799.0,여성,30대,Z08
25353,M843698425,799.0,여성,50대,Z17
13078,M437128602,799.0,남성,30대,Z10
6316,M209978730,798.0,남성,40대,Z13
23875,M793953321,797.0,여성,40대,Z12
2737,M092448213,797.0,여성,40대,Z17
14184,M473358717,797.0,여성,40대,Z10
6378,M211963330,797.0,여성,50대,Z16
3366,M112971606,796.0,여성,40대,Z17
25840,M860880976,796.0,남성,40대,Z17
8221,M274447867,795.0,여성,40대,Z11
14797,M492399103,795.0,여성,40대,Z17
20985,M699958272,794.0,여성,40대,Z10
4677,M156433780,793.0,여성,40대,Z10
11032,M366693613,793.0,여성,40대,Z05
24777,M825036729,793.0,여성,30대,Z12
7454,M248235150,793.0,여성,40대,Z10
11030,M366624204,793.0,여성,40대,Z06
22275,M740316079,792.0,남성,40대,Z17
24771,M824853432,791.0,여성,40대,Z17
2712,M091233430,791.0,여성,50대,Z08
5361,M178227086,790.0,여성,30대,Z10
26012,M866610865,790.0,여성,50대,Z15
17455,M581358067,789.0,여성,30대,Z17
25198,M839265919,789.0,여성,40대,Z10
16749,M556896683,788.0,남성,40대,Z08
26120,M870083459,787.0,여성,30대,Z16
2387,M079978488,787.0,여성,60대,Z16
16178,M538589276,786.0,여성,30대,Z17
7793,M259948370,785.0,남성,30대,Z03
6927,M231280512,785.0,여성,40대,Z17
134,M005190060,784.0,여성,30대,Z09
24476,M814893049,784.0,여성,40대,Z17
8885,M294362283,784.0,여성,50대,Z10
3463,M115992413,782.0,여성,30대,Z10
23892,M794595770,781.0,여성,30대,Z10
16886,M561340953,781.0,여성,40대,Z01
7348,M244951578,780.0,여성,40대,Z10
11963,M398077427,780.0,여성,40대,Z14
21388,M712388981,780.0,여성,30대,Z04
13755,M459002891,779.0,남성,30대,Z17
22100,M734658269,779.0,남성,20대,Z10
24987,M832186157,778.0,여성,30대,Z10
6871,M228934898,778.0,여성,40대,Z17
4557,M152303718,777.0,남성,30대,Z10
9212,M306693861,777.0,여성,40대,Z04
6937,M231537676,776.0,여성,50대,Z17
4925,M163603125,776.0,여성,50대,Z17
4545,M151983877,776.0,여성,50대,Z15
8919,M295502767,776.0,여성,40대,Z01
24387,M811831696,776.0,남성,40대,Z12
24512,M816268724,775.0,여성,50대,Z10
28293,M942965432,775.0,여성,50대,Z11
6137,M204207863,775.0,여성,30대,Z11
4131,M138312150,774.0,남성,60대,Z10
7338,M244527587,774.0,여성,50대,Z15
21308,M709856223,773.0,남성,40대,Z01
27296,M908752520,771.0,여성,50대,Z10
20433,M681918893,771.0,여성,40대,Z10
26459,M881022819,771.0,여성,30대,Z17
11247,M373458054,771.0,여성,50대,Z17
10803,M358108167,770.0,여성,40대,Z16
28814,M961224872,770.0,여성,30대,Z07
9533,M318082150,770.0,여성,50대,Z16
17423,M580365548,770.0,여성,50대,Z17
13113,M438331473,770.0,여성,40대,Z10
14589,M486016468,770.0,여성,30대,Z17
23659,M786571229,770.0,남성,20대,Z10
20432,M681914568,770.0,남성,30대,Z10
